date,open,close,high,low,volume
2025-12-22,9.5,10.43,10.43,9.5,2142765.05
2025-12-23,10.65,10.42,11.32,10.29,2865515.12
2025-12-24,10.16,10.1,10.34,9.9,1901077.83
2025-12-25,10.2,9.73,10.24,9.67,1335470.96
2025-12-26,9.61,9.95,10.29,9.61,1757662.69
2025-12-29,9.83,9.54,10.06,9.53,1444451.01
2025-12-30,9.35,8.96,9.4,8.91,1258202.77
2025-12-31,9.0,9.0,9.21,8.75,951629.95
2026-01-05,8.86,8.67,8.86,8.54,1021203.33
2026-01-06,8.65,8.71,8.83,8.61,750648.93
2026-01-07,8.66,8.65,8.82,8.62,641318.94
2026-01-08,8.57,8.6,8.72,8.55,631803.7
2026-01-09,8.53,8.51,8.63,8.46,630079.44
2026-01-12,8.37,8.42,8.53,8.34,926151.31
2026-01-13,8.45,8.19,8.74,8.18,1120333.35
2026-01-14,8.09,8.09,8.19,7.98,867332.46
2026-01-15,8.04,7.94,8.15,7.86,569811.09
2026-01-16,7.96,7.85,8.03,7.84,357905.78
2026-01-19,7.87,8.11,8.16,7.87,688647.4
2026-01-20,8.09,7.87,8.09,7.84,470994.61
2026-01-21,7.83,7.77,7.85,7.74,335244.09
2026-01-22,7.75,7.88,7.89,7.75,340565.9
2026-01-23,7.87,8.02,8.04,7.86,386315.03
2026-01-26,7.96,7.87,7.99,7.83,394769.63
2026-01-27,7.83,7.75,7.85,7.59,335863.72
2026-01-28,7.76,7.99,8.11,7.75,568252.46
2026-01-29,7.98,8.09,8.17,7.87,806415.18
2026-01-30,8.06,8.41,8.48,8.02,1286899.6
2026-02-02,8.33,7.94,8.33,7.88,797355.64
2026-02-03,7.88,7.84,7.98,7.68,534389.35
2026-02-04,7.87,7.83,7.91,7.73,432219.25
2026-02-05,7.76,7.78,7.9,7.74,343381.91
2026-02-06,7.72,7.7,7.8,7.62,373088.41
2026-02-09,7.74,7.83,7.85,7.72,346926.47
2026-02-10,7.83,7.7,7.84,7.68,329437.88
2026-02-11,7.68,7.71,7.76,7.66,235392.24
2026-02-12,7.69,7.56,7.72,7.56,324231.53
2026-02-13,7.56,7.6,7.66,7.54,223003.09
2026-02-24,7.65,7.65,7.7,7.53,251085.54
2026-02-25,7.65,7.76,7.81,7.63,299605.43
2026-02-26,7.82,7.68,7.89,7.66,356266.6
2026-02-27,7.67,7.8,7.8,7.62,319689.85
2026-03-02,7.67,7.64,7.79,7.55,365841.91
2026-03-03,7.61,7.54,7.76,7.5,414369.0
2026-03-04,7.47,7.56,7.59,7.39,292257.31
2026-03-05,7.59,7.46,7.64,7.44,305093.45
2026-03-06,7.41,7.72,7.74,7.4,486007.79
2026-03-09,7.67,7.57,7.8,7.52,337029.6
2026-03-10,7.57,7.61,7.66,7.56,210774.0
2026-03-11,7.61,7.59,7.65,7.51,211008.94
2026-03-12,7.57,7.69,7.76,7.52,381517.71
2026-03-13,7.68,7.58,7.73,7.55,360137.01
2026-03-16,7.61,7.65,7.72,7.57,271669.18
2026-03-17,7.65,7.54,7.76,7.51,440686.0
2026-03-18,7.54,7.38,7.58,7.25,366443.02
2026-03-19,7.31,7.19,7.35,7.16,277070.03
2026-03-20,7.19,7.01,7.24,7.0,247572.0
2026-03-23,6.9,6.61,6.9,6.57,387901.57
2026-03-24,6.72,6.77,6.78,6.58,235177.26
2026-03-25,6.82,6.79,6.82,6.74,203616.84
2026-03-26,6.77,6.66,6.87,6.63,166574.3
2026-03-27,6.58,6.8,6.81,6.56,183173.24
2026-03-30,6.73,6.8,6.85,6.7,144437.84
2026-03-31,6.77,6.65,6.85,6.63,169447.4
2026-04-01,6.72,6.69,6.75,6.65,112121.38
2026-04-02,6.68,6.71,6.8,6.66,233451.73
2026-04-03,6.71,6.37,6.71,6.36,248270.21
2026-04-07,6.41,6.59,6.65,6.35,259901.32
2026-04-08,6.65,6.72,6.72,6.58,222420.0
2026-04-09,6.65,6.56,6.71,6.54,175394.0
2026-04-10,6.6,6.6,6.66,6.56,135250.0
2026-04-13,6.62,6.73,6.75,6.6,224290.83
2026-04-14,6.74,6.86,6.9,6.71,321897.51
2026-04-15,6.87,6.9,6.94,6.81,254374.41
2026-04-16,6.9,6.91,6.92,6.78,211200.01
2026-04-17,6.9,6.89,6.92,6.82,164146.59
2026-04-20,7.02,7.11,7.27,7.01,404825.38
2026-04-21,7.11,6.94,7.2,6.88,301058.62
2026-04-22,6.92,6.91,7.04,6.87,211197.98
2026-04-23,6.87,6.78,6.89,6.73,204645.6
2026-04-24,6.75,6.66,6.77,6.63,155490.31
2026-04-27,6.66,6.55,6.66,6.51,194032.45
2026-04-28,6.41,6.24,6.46,6.15,443433.0
2026-04-29,6.22,6.38,6.45,6.19,291650.85
2026-04-30,6.35,6.55,6.73,6.35,285549.09
2026-05-06,6.55,6.56,6.62,6.51,231001.46
2026-05-07,6.56,6.49,6.62,6.47,217659.0
2026-05-08,6.5,6.52,6.53,6.48,127151.76
2026-05-11,6.53,6.52,6.56,6.43,194103.47
2026-05-12,6.5,6.31,6.5,6.27,247096.24
2026-05-13,6.3,6.45,6.52,6.26,243808.61
2026-05-14,6.45,6.35,6.47,6.31,186479.99
2026-05-15,6.35,6.21,6.39,6.16,197073.0
2026-05-18,6.17,6.12,6.21,6.05,167149.44
2026-05-19,6.12,6.17,6.19,6.05,149748.0
2026-05-20,6.13,6.04,6.15,5.99,127626.75
2026-05-21,6.09,5.89,6.15,5.88,161268.67
2026-05-22,5.95,5.95,5.98,5.89,125953.4
2026-05-25,6.03,5.88,6.03,5.83,137335.0
2026-05-26,5.87,5.74,5.88,5.69,190646.48
2026-05-27,5.74,5.6,5.76,5.56,198151.94
2026-05-28,5.57,5.56,5.62,5.44,150047.18
2026-05-29,5.55,5.59,5.68,5.53,164057.0
2026-06-01,5.55,5.63,5.65,5.49,208791.0
2026-06-02,5.64,5.43,5.65,5.4,185126.95
2026-06-03,5.43,5.38,5.45,5.34,152362.0
2026-06-04,5.37,5.26,5.44,5.22,165570.16
2026-06-05,5.24,5.21,5.32,5.17,188929.44
2026-06-08,5.09,5.06,5.32,5.0,222575.04
2026-06-09,5.1,5.08,5.12,4.99,156586.33
2026-06-10,5.07,5.1,5.15,5.01,195831.0
2026-06-11,5.07,5.06,5.13,5.01,146060.66
2026-06-12,5.12,5.24,5.29,5.07,450040.94
2026-06-15,5.24,5.22,5.28,5.14,262613.0
2026-06-16,5.21,5.26,5.31,5.08,191647.66
