date,open,close,high,low,volume
2025-12-22,31.52,31.74,32.18,31.37,37566.8
2025-12-23,31.78,31.32,31.88,31.15,33400.66
2025-12-24,31.18,31.04,31.43,30.86,54359.0
2025-12-25,31.09,30.79,31.14,30.45,82020.83
2025-12-26,30.81,30.57,31.35,30.53,65841.52
2025-12-29,30.57,30.37,30.85,30.14,46334.0
2025-12-30,30.28,30.31,30.79,30.23,53184.97
2025-12-31,30.29,30.62,30.85,30.23,52407.14
2026-01-05,30.57,31.6,31.6,30.56,84431.37
2026-01-06,31.51,31.81,31.85,31.32,62014.99
2026-01-07,31.83,31.52,32.01,31.37,54355.37
2026-01-08,31.45,32.18,32.32,31.36,73529.45
2026-01-09,31.94,33.01,33.07,31.94,94812.99
2026-01-12,33.39,35.23,35.6,33.39,186976.39
2026-01-13,35.25,34.78,35.93,34.63,160920.65
2026-01-14,34.74,35.42,36.56,34.45,172427.05
2026-01-15,34.84,34.47,35.68,34.16,99145.41
2026-01-16,34.44,33.35,34.55,32.94,95579.72
2026-01-19,33.12,34.39,35.08,33.0,108646.9
2026-01-20,34.6,34.39,35.39,33.68,95056.02
2026-01-21,34.13,33.77,34.34,33.71,55917.53
2026-01-22,33.76,34.08,34.77,33.76,57458.05
2026-01-23,34.28,34.67,34.94,33.98,68043.41
2026-01-26,34.73,34.07,34.96,33.85,64232.16
2026-01-27,34.09,35.91,37.37,33.6,154418.54
2026-01-28,35.63,34.89,35.96,34.87,90654.43
2026-01-29,34.75,35.63,36.78,34.51,161822.5
2026-01-30,35.42,37.17,37.85,34.56,246195.2
2026-02-02,36.89,35.5,38.12,35.42,172351.6
2026-02-03,35.86,35.65,36.39,35.3,104141.96
2026-02-04,35.52,34.44,35.52,33.99,102231.35
2026-02-05,34.06,34.6,35.13,33.91,74021.72
2026-02-06,34.18,33.26,34.31,32.8,81591.02
2026-02-09,33.9,36.19,36.66,33.9,178545.49
2026-02-10,36.29,39.24,39.45,35.81,302758.76
2026-02-11,37.95,36.53,38.04,36.47,172898.86
2026-02-12,36.54,36.49,36.98,35.86,100743.95
2026-02-13,36.23,35.55,36.78,35.52,85572.13
2026-02-24,35.67,34.56,35.73,34.37,78866.14
2026-02-25,34.66,34.64,35.02,34.45,49543.94
2026-02-26,34.77,33.95,34.9,33.93,74276.6
2026-02-27,33.95,33.9,34.18,33.85,48137.41
2026-03-02,33.15,32.33,33.68,32.13,75578.35
2026-03-03,32.37,31.47,32.61,31.43,58495.92
2026-03-04,31.41,31.53,31.71,31.09,31906.56
2026-03-05,32.01,31.44,32.16,31.38,32054.6
2026-03-06,31.32,31.76,31.78,31.17,30980.24
2026-03-09,31.45,31.43,31.54,30.78,40515.63
2026-03-10,31.64,31.93,32.0,31.61,32353.41
2026-03-11,32.01,31.6,32.01,31.59,31745.79
2026-03-12,31.43,30.99,31.52,30.96,34326.8
2026-03-13,30.94,30.68,31.13,30.59,31638.03
2026-03-16,30.59,31.08,31.11,30.47,25300.04
2026-03-17,31.06,30.79,31.28,30.77,25910.68
2026-03-18,30.92,31.11,31.23,30.57,23854.0
2026-03-19,30.82,30.47,30.92,30.47,29077.57
2026-03-20,30.52,29.0,30.73,28.97,52970.94
2026-03-23,27.95,26.99,28.6,26.95,58214.05
2026-03-24,27.64,27.43,27.81,26.88,36235.83
2026-03-25,27.72,27.74,27.85,27.44,33395.98
2026-03-26,27.56,27.1,27.76,26.89,35333.0
2026-03-27,26.7,27.55,27.66,26.59,33250.0
2026-03-30,27.19,27.64,27.65,27.02,26173.35
2026-03-31,27.6,27.32,27.97,27.18,27095.29
2026-04-01,27.83,27.76,27.9,27.47,25048.0
2026-04-02,27.76,27.0,27.76,26.98,28989.87
2026-04-03,27.22,26.23,27.34,26.22,26546.59
2026-04-07,26.41,28.47,28.78,26.31,54206.13
2026-04-08,28.27,29.79,31.22,28.16,116775.77
2026-04-09,29.21,28.64,29.26,28.58,65666.68
2026-04-10,28.93,28.79,29.4,28.65,43874.68
2026-04-13,28.55,28.68,28.77,28.3,36598.77
2026-04-14,28.92,28.98,29.16,28.63,31689.46
2026-04-15,29.14,28.66,29.14,28.54,28387.5
2026-04-16,28.68,28.95,29.04,28.66,29246.0
2026-04-17,28.84,28.99,29.24,28.41,42084.51
2026-04-20,28.98,29.43,29.58,28.89,41736.74
2026-04-21,29.21,28.84,29.24,28.54,39594.6
2026-04-22,28.73,28.67,28.73,28.15,35418.84
2026-04-23,28.64,28.41,28.79,28.22,26724.46
2026-04-24,28.41,27.99,28.41,27.58,30118.64
2026-04-27,27.87,28.3,28.42,27.47,27345.24
2026-04-28,28.15,27.42,28.25,27.3,32542.68
2026-04-29,27.47,27.74,27.96,27.33,23833.97
2026-04-30,27.68,26.61,27.68,26.5,83504.97
2026-05-06,26.5,26.74,27.14,26.5,57085.55
2026-05-07,26.85,27.33,27.43,26.72,52365.17
