date,open,close,high,low,volume
2025-12-22,27.28,27.31,27.73,27.22,182762.91
2025-12-23,27.31,27.35,27.64,27.15,177517.38
2025-12-24,27.24,27.74,27.91,26.96,200828.88
2025-12-25,27.58,28.33,28.55,27.58,226200.34
2025-12-26,28.22,28.35,28.55,27.96,210562.72
2025-12-29,28.83,28.45,28.93,28.31,191768.12
2025-12-30,28.48,28.2,28.78,28.09,184054.39
2025-12-31,28.17,28.3,28.36,27.77,178342.61
2026-01-05,28.44,29.84,30.19,28.44,386444.89
2026-01-06,29.48,30.25,30.34,29.46,306359.91
2026-01-07,30.05,29.64,30.13,29.45,216186.43
2026-01-08,29.64,30.78,30.98,29.59,347673.45
2026-01-09,31.34,31.13,31.72,30.66,388129.29
2026-01-12,32.17,32.18,33.05,31.85,392967.0
2026-01-13,32.14,31.73,32.57,31.19,347589.56
2026-01-14,31.74,31.27,32.28,30.85,321937.91
2026-01-15,30.84,31.62,32.4,30.72,235606.71
2026-01-16,31.59,30.94,31.69,30.73,182346.69
2026-01-19,30.93,31.44,31.75,30.45,202737.53
2026-01-20,31.52,31.78,32.28,31.49,221889.94
2026-01-21,31.54,31.48,32.2,31.35,156987.18
2026-01-22,31.49,33.84,34.62,31.49,518785.87
2026-01-23,34.37,33.6,34.37,33.23,281243.95
2026-01-26,33.66,33.22,34.32,32.83,229201.04
2026-01-27,32.85,32.98,33.23,32.18,177723.86
2026-01-28,32.98,32.98,33.42,32.53,170854.18
2026-01-29,32.75,31.94,32.83,31.77,201761.35
2026-01-30,32.01,31.28,32.21,30.54,182511.26
2026-02-02,31.09,30.69,31.77,30.69,146821.55
2026-02-03,30.99,31.87,32.04,30.78,178662.86
2026-02-04,31.78,32.59,33.1,31.69,203232.18
2026-02-05,33.3,32.28,33.71,32.12,238939.12
2026-02-06,31.59,31.67,32.29,31.24,193766.15
2026-02-09,31.99,31.95,32.54,31.87,144802.72
2026-02-10,31.99,33.4,33.55,31.55,277391.68
2026-02-11,33.09,33.98,35.17,32.71,353066.99
2026-02-12,33.63,35.33,37.0,33.26,389630.52
2026-02-13,35.22,35.81,36.91,35.22,345281.33
2026-02-24,35.42,36.83,37.25,35.39,338863.73
2026-02-25,36.45,36.77,37.77,35.96,358117.06
2026-02-26,36.55,37.27,37.48,36.21,265938.91
2026-02-27,37.31,37.22,38.35,36.73,296658.09
2026-03-02,37.9,37.03,38.29,36.11,330337.81
2026-03-03,36.83,34.97,37.39,34.9,318432.75
2026-03-04,34.32,35.5,36.38,34.27,240102.21
2026-03-05,35.77,35.42,36.15,35.15,168410.74
2026-03-06,35.24,36.16,37.09,35.1,229188.86
2026-03-09,35.68,34.82,35.71,34.55,214141.14
2026-03-10,34.93,35.19,36.27,34.92,169532.93
2026-03-11,35.19,34.62,35.57,34.52,154796.07
2026-03-12,34.48,34.12,34.62,33.78,152720.51
2026-03-13,33.84,33.38,34.12,33.18,129859.29
2026-03-16,33.71,32.99,33.9,32.78,151783.88
2026-03-17,32.98,31.87,33.19,31.83,163267.16
2026-03-18,32.12,31.98,32.2,31.33,120223.66
2026-03-19,31.55,30.99,31.75,30.77,115235.78
2026-03-20,31.0,30.08,31.2,30.07,112319.63
2026-03-23,29.46,28.46,29.62,28.19,174542.52
2026-03-24,28.83,29.7,29.75,28.6,162511.36
2026-03-25,29.7,30.02,30.21,29.63,145361.73
2026-03-26,30.02,29.51,30.15,29.16,105544.24
2026-03-27,28.99,29.62,29.78,28.83,91798.49
2026-03-30,28.85,28.81,29.13,28.33,161278.72
2026-03-31,28.74,28.43,29.26,28.41,132205.86
2026-04-01,28.84,28.53,29.05,28.42,108400.67
2026-04-02,28.46,27.75,28.74,27.61,136615.95
2026-04-03,27.84,27.09,28.14,27.06,104858.86
2026-04-07,27.06,27.71,27.86,27.06,147327.01
2026-04-08,28.46,28.34,28.54,27.9,192878.0
2026-04-09,27.96,28.06,28.34,27.7,133104.66
2026-04-10,28.19,28.51,28.91,28.19,169727.93
2026-04-13,28.24,28.35,28.54,28.08,137138.19
2026-04-14,29.73,29.28,29.78,28.96,276002.14
2026-04-15,29.4,29.09,29.8,29.07,202400.98
2026-04-16,29.16,29.22,29.44,28.89,154946.3
2026-04-17,29.15,29.48,29.57,28.86,154887.66
2026-04-20,29.82,30.5,30.57,29.7,279967.18
2026-04-21,30.27,30.37,31.04,30.0,222273.07
2026-04-22,30.08,30.42,30.49,29.88,151560.31
2026-04-23,30.4,32.08,32.42,30.35,404031.84
2026-04-24,31.64,31.07,31.75,30.95,282316.08
2026-04-27,31.08,30.57,31.41,30.41,213242.85
2026-04-28,30.42,31.53,32.49,30.4,349849.69
2026-04-29,31.67,32.19,32.51,31.28,287356.18
2026-04-30,32.82,31.99,33.36,31.84,312651.77
2026-05-06,31.58,31.97,31.98,31.24,286753.01
2026-05-07,31.9,31.55,32.21,31.38,216393.82
2026-05-08,31.44,31.53,31.79,30.87,216340.56
2026-05-11,31.43,31.93,32.25,31.35,212410.2
2026-05-12,31.94,31.31,31.94,30.99,189539.36
2026-05-13,31.29,32.4,32.41,31.23,260911.24
2026-05-14,32.43,30.99,32.43,30.99,208863.34
2026-05-15,31.02,30.55,31.68,30.25,188946.4
2026-05-18,30.15,30.17,30.91,29.98,141287.58
2026-05-19,30.34,29.94,30.43,29.26,131573.14
2026-05-20,29.75,30.25,30.71,29.43,138867.72
2026-05-21,30.32,29.78,31.29,29.69,161288.5
2026-05-22,30.06,29.85,30.34,29.7,99354.35
2026-05-25,29.85,29.38,30.24,29.1,121173.5
2026-05-26,29.29,29.13,29.31,28.53,116168.69
2026-05-27,28.91,28.49,29.78,28.41,129505.0
2026-05-28,28.46,28.77,28.93,28.1,94010.21
2026-05-29,28.77,28.09,28.95,27.98,104763.74
2026-06-01,27.98,27.95,28.33,27.81,83607.91
2026-06-02,28.04,27.72,28.1,27.21,82805.02
2026-06-03,27.66,27.48,27.88,27.3,83879.7
2026-06-04,27.3,27.5,28.19,27.27,98429.19
2026-06-05,27.42,27.01,27.61,26.85,112358.06
2026-06-08,26.43,25.8,26.84,25.54,127010.44
2026-06-09,26.36,25.58,26.36,25.17,95098.39
2026-06-10,25.57,25.35,25.75,24.97,93849.74
2026-06-11,25.06,24.99,25.27,24.67,89891.9
2026-06-12,25.23,25.86,26.12,25.11,139500.48
