date,open,close,high,low,volume
2025-12-22,16.6,16.57,16.64,16.47,87282.19
2025-12-23,16.53,16.64,16.95,16.5,114823.71
2025-12-24,16.6,16.56,16.64,16.51,77835.16
2025-12-25,16.58,16.52,16.62,16.42,87599.77
2025-12-26,16.51,16.36,16.55,16.36,100808.08
2025-12-29,16.31,16.0,16.34,15.96,162813.8
2025-12-30,15.98,15.99,16.11,15.93,80064.46
2025-12-31,15.99,15.76,16.02,15.76,97127.97
2026-01-05,15.8,16.16,16.18,15.79,131086.36
2026-01-06,16.14,16.17,16.19,16.03,122198.43
2026-01-07,16.16,16.0,16.16,15.99,111882.0
2026-01-08,15.98,16.05,16.12,15.98,70132.97
2026-01-09,16.11,16.19,16.23,15.95,131674.4
2026-01-12,16.19,16.22,16.24,16.07,118355.97
2026-01-13,16.22,16.49,16.65,16.22,238155.21
2026-01-14,16.46,16.48,16.78,16.28,232837.73
2026-01-15,16.48,16.66,16.7,16.35,127068.0
2026-01-16,16.63,16.59,16.73,16.42,114355.52
2026-01-19,16.53,16.54,16.63,16.47,83803.34
2026-01-20,16.57,17.07,17.2,16.51,270244.55
2026-01-21,16.95,16.76,16.99,16.68,150825.32
2026-01-22,16.74,16.6,16.77,16.57,95443.04
2026-01-23,16.62,16.6,16.7,16.56,94293.0
2026-01-26,16.61,17.08,17.09,16.38,279966.59
2026-01-27,17.02,16.82,17.06,16.58,168331.51
2026-01-28,16.8,16.6,16.83,16.58,94274.58
2026-01-29,16.63,16.8,16.87,16.46,118228.0
2026-01-30,16.77,16.63,16.99,16.54,139736.84
2026-02-02,16.62,16.58,17.02,16.56,132642.35
2026-02-03,16.66,16.61,16.83,16.45,96182.65
2026-02-04,16.6,16.92,16.97,16.51,146900.42
2026-02-05,16.89,17.03,17.27,16.81,159851.26
2026-02-06,17.41,17.08,17.93,17.08,350319.07
2026-02-09,16.97,16.91,17.11,16.82,199792.26
2026-02-10,16.9,16.84,17.03,16.79,112376.1
2026-02-11,16.86,16.64,16.89,16.64,102734.0
2026-02-12,16.64,16.48,16.67,16.46,107934.0
2026-02-13,16.46,16.18,16.55,16.17,121197.69
2026-02-24,16.34,16.46,16.56,16.24,95018.92
2026-02-25,16.46,16.46,16.57,16.42,69599.0
2026-02-26,16.46,16.36,16.51,16.33,68691.97
2026-02-27,16.33,16.31,16.37,16.2,61793.0
2026-03-02,16.19,16.0,16.3,15.95,94577.47
2026-03-03,15.98,15.78,16.11,15.73,98202.49
2026-03-04,15.71,15.49,15.82,15.44,138098.94
2026-03-05,15.65,15.63,15.7,15.53,62092.18
2026-03-06,15.59,15.84,15.86,15.55,60390.87
2026-03-09,15.7,15.83,15.87,15.58,86634.98
2026-03-10,15.91,16.11,16.13,15.89,70164.0
2026-03-11,16.07,16.11,16.21,16.0,58375.85
2026-03-12,16.05,15.9,16.13,15.86,75480.0
2026-03-13,15.89,15.87,16.03,15.86,55491.0
2026-03-16,15.84,16.01,16.16,15.78,124921.16
2026-03-17,16.01,16.11,16.36,15.93,110658.0
2026-03-18,16.07,15.95,16.15,15.88,61297.0
2026-03-19,15.81,15.48,15.93,15.43,103784.0
2026-03-20,15.6,15.59,15.94,15.58,115620.0
2026-03-23,15.41,15.04,15.65,14.92,151937.81
2026-03-24,15.25,15.04,15.26,14.92,91748.02
2026-03-25,15.08,14.9,15.16,14.83,115859.53
2026-03-26,14.87,14.57,15.07,14.53,123921.28
2026-03-27,14.47,15.16,15.21,14.45,162088.0
2026-03-30,15.02,15.39,15.58,14.98,125040.45
2026-03-31,15.32,15.25,15.53,15.2,85845.35
2026-04-01,15.41,15.77,15.85,15.37,154066.97
2026-04-02,15.72,15.62,15.8,15.53,97197.56
2026-04-03,15.55,15.13,15.6,15.1,80502.06
2026-04-07,15.26,14.96,15.28,14.93,66396.33
2026-04-08,15.22,15.39,15.49,15.18,113413.16
2026-04-09,15.3,15.27,15.65,15.25,91282.19
2026-04-10,15.3,15.31,15.55,15.3,65887.0
2026-04-13,15.22,15.09,15.29,15.04,61066.0
2026-04-14,15.13,15.16,15.21,14.98,60801.0
2026-04-15,15.31,15.66,15.7,15.18,152884.75
2026-04-16,15.59,15.52,15.65,15.48,83054.05
2026-04-17,15.51,15.19,15.52,15.16,98488.0
2026-04-20,15.26,15.25,15.37,15.14,58128.0
2026-04-21,15.26,15.13,15.39,15.1,63060.96
2026-04-22,15.19,15.53,15.64,15.07,113895.35
2026-04-23,15.49,16.15,16.34,15.45,220723.01
2026-04-24,16.01,16.18,16.23,15.93,124893.0
2026-04-27,15.41,15.06,15.42,15.05,357481.41
2026-04-28,15.06,14.85,15.39,14.8,175228.59
2026-04-29,14.81,15.04,15.16,14.8,92792.04
2026-04-30,15.01,14.84,15.08,14.8,90167.78
2026-05-06,14.99,14.85,14.99,14.74,132594.51
2026-05-07,14.87,14.82,14.88,14.78,94733.5
2026-05-08,14.84,14.85,14.91,14.8,78490.18
2026-05-11,14.85,14.75,14.86,14.65,133236.78
2026-05-12,14.76,14.77,14.83,14.68,81960.0
2026-05-13,14.81,14.69,14.82,14.68,85592.01
2026-05-14,14.68,14.47,14.72,14.47,102859.02
2026-05-15,14.45,14.45,14.62,14.36,68730.63
2026-05-18,14.43,14.21,14.48,14.08,87042.13
2026-05-19,14.21,14.18,14.3,14.07,50467.0
2026-05-20,14.14,13.98,14.16,13.9,66484.03
2026-05-21,13.98,14.03,14.25,13.95,81575.0
2026-05-22,14.03,13.87,14.07,13.77,69458.09
2026-05-25,13.85,13.67,13.86,13.56,91412.8
2026-05-26,13.67,13.59,13.79,13.46,84335.04
2026-05-27,13.61,13.87,14.06,13.55,129697.11
2026-05-28,13.99,13.56,13.99,13.51,84218.28
2026-05-29,13.57,13.83,13.97,13.55,89866.0
2026-06-01,13.99,14.19,14.32,13.9,97124.0
2026-06-02,14.11,13.92,14.21,13.92,73282.0
2026-06-03,13.95,13.68,14.0,13.64,74152.03
2026-06-04,13.68,13.51,13.77,13.49,58623.0
2026-06-05,13.55,13.49,13.71,13.45,69090.81
2026-06-08,13.41,13.17,13.55,13.06,98771.81
2026-06-09,13.16,12.96,13.2,12.93,70943.0
2026-06-10,13.0,13.39,13.47,12.84,114298.03
2026-06-11,13.26,13.08,13.33,13.02,81803.46
2026-06-12,13.11,13.27,13.43,13.04,103231.04
2026-06-15,13.28,13.34,13.43,13.21,86270.04
2026-06-16,13.34,13.16,13.34,13.11,65960.67
2026-06-17,13.17,13.04,13.19,12.99,66283.3
2026-06-18,13.0,12.83,13.12,12.74,122394.81
2026-06-22,12.83,12.88,12.89,12.3,156263.83
2026-06-23,12.86,13.61,13.8,12.85,267399.45
2026-06-24,13.59,13.31,13.83,13.28,180419.04
2026-06-25,13.19,13.28,13.48,12.82,153143.84
2026-06-26,13.22,12.86,13.37,12.85,102988.65
2026-06-29,12.81,13.83,14.0,12.57,302664.38
2026-06-30,13.87,14.1,14.18,13.53,232399.22
2026-07-01,14.0,14.39,14.41,13.75,203962.07
2026-07-02,14.37,14.21,14.67,14.12,163021.0
2026-07-03,14.34,14.17,14.55,14.05,128143.01
2026-07-06,14.18,14.37,14.72,14.0,236613.02
2026-07-07,14.23,13.78,14.23,13.76,145748.71
2026-07-08,13.8,13.71,14.08,13.61,118299.0
