date,open,close,high,low,volume
2025-12-22,10.0,9.9,10.33,9.85,268314.05
2025-12-23,9.88,9.77,10.2,9.74,175220.77
2025-12-24,9.8,9.96,9.98,9.67,133605.0
2025-12-25,9.94,9.75,9.97,9.75,111686.7
2025-12-26,9.72,9.63,9.75,9.59,85083.4
2025-12-29,9.65,9.75,9.84,9.62,89241.0
2025-12-30,9.72,9.52,9.75,9.51,94526.84
2025-12-31,9.58,9.5,9.6,9.37,62560.32
2026-01-05,9.5,9.49,9.56,9.42,70486.37
2026-01-06,9.55,9.59,9.61,9.5,73347.68
2026-01-07,9.61,9.47,9.61,9.45,74911.03
2026-01-08,9.45,9.57,9.6,9.45,75375.35
2026-01-09,9.7,9.72,9.76,9.63,125255.11
2026-01-12,9.73,9.77,9.77,9.65,101064.08
2026-01-13,9.76,9.8,10.02,9.71,142703.0
2026-01-14,9.77,9.73,9.89,9.61,118367.05
2026-01-15,9.74,9.77,9.92,9.68,80258.74
2026-01-16,9.77,9.76,9.99,9.69,121511.0
2026-01-19,9.74,9.89,9.89,9.72,85298.81
2026-01-20,9.88,9.96,9.98,9.86,102631.37
2026-01-21,9.88,10.0,10.01,9.85,80970.0
2026-01-22,10.01,10.09,10.1,9.92,85559.86
2026-01-23,10.08,10.08,10.11,9.99,89433.46
2026-01-26,10.07,9.95,10.08,9.87,99458.66
2026-01-27,9.92,9.86,10.0,9.72,84325.29
2026-01-28,9.84,9.83,9.97,9.8,80111.2
2026-01-29,9.8,9.74,9.93,9.72,77291.56
2026-01-30,9.71,9.73,9.86,9.58,85606.82
2026-02-02,9.3,8.84,9.44,8.83,234251.32
2026-02-03,8.93,9.02,9.04,8.85,82578.02
2026-02-04,9.02,9.09,9.11,8.95,53377.0
2026-02-05,9.07,9.0,9.17,9.0,51845.8
2026-02-06,8.96,9.09,9.19,8.96,53536.47
2026-02-09,9.2,9.13,9.23,9.1,63216.26
2026-02-10,9.14,9.18,9.24,9.11,62035.57
2026-02-11,9.16,9.17,9.25,9.13,45949.08
2026-02-12,9.15,9.11,9.35,9.1,90792.6
2026-02-13,9.1,9.06,9.26,9.06,58561.6
2026-02-24,9.11,9.38,9.38,9.11,82864.82
2026-02-25,9.32,9.26,9.44,9.23,89119.97
2026-02-26,9.29,9.2,9.34,9.16,55338.24
2026-02-27,9.16,9.17,9.25,9.14,36452.0
2026-03-02,9.1,9.05,9.19,8.94,96365.14
2026-03-03,9.05,8.72,9.15,8.7,101641.0
2026-03-04,8.7,8.66,8.79,8.59,73622.33
2026-03-05,8.78,8.77,8.86,8.7,62439.98
2026-03-06,8.73,8.98,9.0,8.72,74910.0
2026-03-09,8.91,8.92,9.04,8.83,63504.25
2026-03-10,8.95,8.92,9.0,8.87,47829.91
2026-03-11,8.92,8.91,8.95,8.84,46857.0
2026-03-12,8.92,8.85,8.98,8.83,56556.45
2026-03-13,8.85,8.8,8.96,8.79,67490.93
2026-03-16,8.79,8.68,8.88,8.63,68638.0
2026-03-17,8.69,8.61,8.79,8.6,64606.32
2026-03-18,8.6,8.56,8.62,8.44,68506.0
2026-03-19,8.5,8.29,8.55,8.27,64966.86
2026-03-20,8.32,8.06,8.37,8.05,69810.05
2026-03-23,7.98,7.59,7.98,7.52,86131.81
2026-03-24,7.74,7.91,7.93,7.62,88937.0
2026-03-25,7.95,8.02,8.06,7.89,52253.0
2026-03-26,8.02,7.92,8.15,7.88,44921.0
2026-03-27,7.83,8.06,8.08,7.81,46783.74
2026-03-30,7.97,8.1,8.11,7.91,42827.0
2026-03-31,8.09,8.03,8.19,8.0,46419.0
2026-04-01,8.12,8.13,8.19,8.0,46119.0
2026-04-02,8.12,7.99,8.16,7.91,45104.8
2026-04-03,7.95,7.72,8.01,7.7,38173.0
2026-04-07,7.72,8.49,8.49,7.7,226782.64
2026-04-08,8.5,8.9,9.18,8.48,358446.15
2026-04-09,8.88,8.63,9.0,8.6,172871.88
2026-04-10,8.68,8.6,8.77,8.52,93304.27
2026-04-13,8.55,8.55,8.74,8.51,86681.04
2026-04-14,8.55,8.63,8.68,8.46,91417.0
2026-04-15,8.65,8.39,8.7,8.38,75566.0
2026-04-16,8.42,8.48,8.51,8.36,60070.99
2026-04-17,8.46,8.39,8.49,8.31,60668.21
2026-04-20,8.39,8.44,8.45,8.35,55894.0
2026-04-21,8.39,8.37,8.46,8.31,46837.0
2026-04-22,8.35,8.39,8.44,8.28,46092.0
2026-04-23,8.42,8.26,8.42,8.21,50204.0
2026-04-24,8.24,8.23,8.28,8.14,47389.71
2026-04-27,8.23,8.2,8.24,7.99,64779.0
2026-04-28,8.2,8.1,8.22,8.07,67995.0
2026-04-29,8.33,8.66,8.91,8.08,272335.06
2026-04-30,8.84,8.55,8.85,8.46,179638.4
2026-05-06,8.51,8.54,8.59,8.44,100048.0
2026-05-07,8.49,8.49,8.58,8.45,68360.0
2026-05-08,8.5,8.68,8.71,8.42,108537.01
2026-05-11,8.7,8.65,8.76,8.59,79424.15
2026-05-12,8.64,8.65,8.75,8.55,88519.0
2026-05-13,8.63,8.71,8.74,8.58,71462.01
2026-05-14,8.71,8.31,8.72,8.31,91634.61
2026-05-15,8.35,8.2,8.64,8.15,89888.0
2026-05-18,8.21,8.09,8.28,7.92,98292.02
2026-05-19,8.14,8.34,8.5,8.07,99461.96
2026-05-20,8.34,8.09,8.34,8.06,70909.0
2026-05-21,8.07,7.76,8.17,7.75,87808.0
2026-05-22,7.76,7.87,7.93,7.65,58691.0
2026-05-25,7.87,7.75,7.94,7.66,61414.52
2026-05-26,7.72,7.59,7.75,7.5,64198.52
2026-05-27,7.57,7.35,7.63,7.3,58221.09
2026-05-28,7.36,7.41,7.47,7.23,44538.0
2026-05-29,7.42,7.41,7.71,7.41,77949.7
2026-06-01,7.41,7.5,7.56,7.32,68219.0
2026-06-02,7.49,7.32,7.52,7.25,48329.43
2026-06-03,7.32,7.17,7.32,7.12,57234.0
2026-06-04,7.15,7.06,7.37,7.01,54253.0
2026-06-05,7.06,7.17,7.24,7.0,58151.0
2026-06-08,7.01,6.95,7.21,6.84,67529.0
2026-06-09,6.98,6.95,7.1,6.85,47592.0
2026-06-10,6.9,6.89,6.97,6.77,55910.0
2026-06-11,6.86,6.81,6.93,6.7,51407.0
2026-06-12,6.85,6.95,7.01,6.73,57275.0
2026-06-15,7.01,6.87,7.08,6.82,58731.0
2026-06-16,6.87,6.83,6.87,6.74,41993.0
2026-06-17,6.78,6.59,6.84,6.56,63243.0
2026-06-18,6.52,6.62,6.72,6.49,56027.0
2026-06-22,6.58,6.67,6.67,6.29,84610.51
2026-06-23,6.6,6.69,6.8,6.6,67764.96
2026-06-24,6.66,6.41,6.69,6.34,57221.0
2026-06-25,6.42,6.4,6.57,6.29,58795.0
2026-06-26,6.35,6.3,6.49,6.19,56186.0
2026-06-29,6.33,6.19,6.35,6.07,64776.5
2026-06-30,6.16,6.24,6.29,6.08,56634.47
2026-07-01,6.23,6.34,6.42,6.15,61852.09
