date,time,amv,volume_candidate,amount_candidate,source_file
2025-06-05,09:30:59,104703.0,3739164416.0,40951246848.0,Z_SK0AMV20250605.fde
2025-06-05,09:31:59,104720.8984375,5844867072.0,65734860800.0,Z_SK0AMV20250605.fde
2025-06-05,09:32:59,104836.0,7480548864.0,85125914624.0,Z_SK0AMV20250605.fde
2025-06-05,09:33:59,104935.3046875,9019417600.0,102941327360.0,Z_SK0AMV20250605.fde
2025-06-05,09:34:59,104871.3984375,10468465664.0,120045477888.0,Z_SK0AMV20250605.fde
2025-06-05,09:35:59,104874.8046875,11736143872.0,135277649920.0,Z_SK0AMV20250605.fde
2025-06-05,09:36:59,104933.3984375,12985619456.0,150522347520.0,Z_SK0AMV20250605.fde
2025-06-05,09:37:59,104946.5,14089804800.0,163900489728.0,Z_SK0AMV20250605.fde
2025-06-05,09:38:59,104985.1015625,15159103488.0,176782098432.0,Z_SK0AMV20250605.fde
2025-06-05,09:39:59,105025.6015625,16240534528.0,189545709568.0,Z_SK0AMV20250605.fde
2025-06-05,09:40:59,105072.703125,17294157824.0,201822371840.0,Z_SK0AMV20250605.fde
2025-06-05,09:41:59,105126.0,18190456832.0,212681392128.0,Z_SK0AMV20250605.fde
2025-06-05,09:42:59,105211.3984375,19059748864.0,223005343744.0,Z_SK0AMV20250605.fde
2025-06-05,09:43:59,105368.1015625,19939801088.0,233441804288.0,Z_SK0AMV20250605.fde
2025-06-05,09:44:59,105413.0,20789084160.0,243118866432.0,Z_SK0AMV20250605.fde
2025-06-05,09:45:59,105495.3046875,21627555840.0,253196271616.0,Z_SK0AMV20250605.fde
2025-06-05,09:46:59,105540.8984375,22374723584.0,262280036352.0,Z_SK0AMV20250605.fde
2025-06-05,09:47:59,105598.3984375,23110301696.0,270851145728.0,Z_SK0AMV20250605.fde
2025-06-05,09:48:59,105648.3984375,23915673600.0,280353669120.0,Z_SK0AMV20250605.fde
2025-06-05,09:49:59,105664.1015625,24629387264.0,288560283648.0,Z_SK0AMV20250605.fde
2025-06-05,09:50:59,105731.3984375,25364736000.0,297351249920.0,Z_SK0AMV20250605.fde
2025-06-05,09:51:59,105815.703125,26035312640.0,305777115136.0,Z_SK0AMV20250605.fde
2025-06-05,09:52:59,105882.5,26796197888.0,315288485888.0,Z_SK0AMV20250605.fde
2025-06-05,09:53:59,105905.8046875,27451535360.0,323449683968.0,Z_SK0AMV20250605.fde
2025-06-05,09:54:59,105930.3984375,28061648896.0,331122802688.0,Z_SK0AMV20250605.fde
2025-06-05,09:55:59,105871.6015625,28726267904.0,339068846080.0,Z_SK0AMV20250605.fde
2025-06-05,09:56:59,105862.0,29323698176.0,346034110464.0,Z_SK0AMV20250605.fde
2025-06-05,09:57:59,105878.8984375,29902495744.0,353166884864.0,Z_SK0AMV20250605.fde
2025-06-05,09:58:59,105857.3984375,30496290816.0,360310079488.0,Z_SK0AMV20250605.fde
2025-06-05,09:59:59,105873.1015625,31031504896.0,366626373632.0,Z_SK0AMV20250605.fde
2025-06-05,10:00:59,105850.3984375,31641497600.0,373625847808.0,Z_SK0AMV20250605.fde
2025-06-05,10:01:59,105883.6015625,32165181440.0,379987951616.0,Z_SK0AMV20250605.fde
2025-06-05,10:02:59,105870.8046875,32645451776.0,385714028544.0,Z_SK0AMV20250605.fde
2025-06-05,10:03:59,105885.6015625,33142726656.0,391610859520.0,Z_SK0AMV20250605.fde
2025-06-05,10:04:59,105905.1015625,33631051776.0,397095010304.0,Z_SK0AMV20250605.fde
2025-06-05,10:05:59,105947.1015625,34119923712.0,402692407296.0,Z_SK0AMV20250605.fde
2025-06-05,10:06:59,105925.203125,34596040704.0,408389877760.0,Z_SK0AMV20250605.fde
2025-06-05,10:07:59,105926.0,35003727872.0,413328113664.0,Z_SK0AMV20250605.fde
2025-06-05,10:08:59,105977.703125,35444916224.0,418534293504.0,Z_SK0AMV20250605.fde
