date,time,amv,volume_candidate,amount_candidate,source_file
2026-06-26,09:30:59,263119.8125,3842240512.0,92827058176.0,Z_SK0AMV20260626.fde
2026-06-26,09:31:59,263267.90625,7026577408.0,170501488640.0,Z_SK0AMV20260626.fde
2026-06-26,09:32:59,263953.8125,10489550848.0,251772059648.0,Z_SK0AMV20260626.fde
2026-06-26,09:33:59,264452.71875,13070082048.0,312225038336.0,Z_SK0AMV20260626.fde
2026-06-26,09:34:59,264723.8125,15326751744.0,364789268480.0,Z_SK0AMV20260626.fde
2026-06-26,09:35:59,264941.5,17324591104.0,412417064960.0,Z_SK0AMV20260626.fde
2026-06-26,09:36:59,265320.40625,19296180224.0,456989605888.0,Z_SK0AMV20260626.fde
2026-06-26,09:37:59,265951.8125,21016090624.0,497879613440.0,Z_SK0AMV20260626.fde
2026-06-26,09:38:59,265862.5,22626836480.0,536457314304.0,Z_SK0AMV20260626.fde
2026-06-26,09:39:59,266120.40625,24410345472.0,576520323072.0,Z_SK0AMV20260626.fde
2026-06-26,09:40:59,266036.90625,26373937152.0,622225326080.0,Z_SK0AMV20260626.fde
2026-06-26,09:41:59,266545.3125,28075245568.0,661468545024.0,Z_SK0AMV20260626.fde
2026-06-26,09:42:59,266146.8125,29774544896.0,699204108288.0,Z_SK0AMV20260626.fde
2026-06-26,09:43:59,266971.5,31421020160.0,735577571328.0,Z_SK0AMV20260626.fde
2026-06-26,09:44:59,267381.0,33020375040.0,769337458688.0,Z_SK0AMV20260626.fde
2026-06-26,09:45:59,267302.40625,34556637184.0,801223147520.0,Z_SK0AMV20260626.fde
2026-06-26,09:46:59,266924.5,35947343872.0,833205698560.0,Z_SK0AMV20260626.fde
2026-06-26,09:47:59,267044.59375,37288325120.0,864435896320.0,Z_SK0AMV20260626.fde
2026-06-26,09:48:59,266589.21875,38491262976.0,895853068288.0,Z_SK0AMV20260626.fde
2026-06-26,09:49:59,265786.59375,39823269888.0,928952483840.0,Z_SK0AMV20260626.fde
2026-06-26,09:50:59,265702.0,41015746560.0,962329772032.0,Z_SK0AMV20260626.fde
2026-06-26,09:51:59,265997.90625,42237341696.0,991951519744.0,Z_SK0AMV20260626.fde
2026-06-26,09:52:59,265595.59375,43437109248.0,1020253569024.0,Z_SK0AMV20260626.fde
2026-06-26,09:53:59,264816.71875,44530769920.0,1049720455168.0,Z_SK0AMV20260626.fde
2026-06-26,09:54:59,264796.0,45668929536.0,1081786171392.0,Z_SK0AMV20260626.fde
2026-06-26,09:55:59,265321.59375,46781763584.0,1109637070848.0,Z_SK0AMV20260626.fde
2026-06-26,09:56:59,265560.71875,47751479296.0,1132487901184.0,Z_SK0AMV20260626.fde
2026-06-26,09:57:59,265830.5,48651767808.0,1153601241088.0,Z_SK0AMV20260626.fde
2026-06-26,09:58:59,266042.40625,49649741824.0,1174801612800.0,Z_SK0AMV20260626.fde
2026-06-26,09:59:59,266424.40625,50631581696.0,1195734466560.0,Z_SK0AMV20260626.fde
2026-06-26,10:00:59,266431.0,51590406144.0,1216710574080.0,Z_SK0AMV20260626.fde
