date,time,amv,volume_candidate,amount_candidate,source_file
2022-01-18,09:30:59,104748.703125,2522141440.0,31606413312.0,Z_SK0AMV20220118.fde
2022-01-18,09:31:59,104752.703125,4075718400.0,52591493120.0,Z_SK0AMV20220118.fde
2022-01-18,09:32:59,104684.8046875,5455607808.0,70689046528.0,Z_SK0AMV20220118.fde
2022-01-18,09:33:59,104811.3984375,6855576064.0,89215057920.0,Z_SK0AMV20220118.fde
2022-01-18,09:34:59,105068.203125,8056068608.0,105081069568.0,Z_SK0AMV20220118.fde
2022-01-18,09:35:59,105178.8984375,9194632192.0,119910596608.0,Z_SK0AMV20220118.fde
2022-01-18,09:36:59,105184.1015625,10256817152.0,133629853696.0,Z_SK0AMV20220118.fde
2022-01-18,09:37:59,105233.0,11247470592.0,146804473856.0,Z_SK0AMV20220118.fde
2022-01-18,09:38:59,105221.3984375,12218621952.0,159438471168.0,Z_SK0AMV20220118.fde
2022-01-18,09:39:59,105287.8984375,13259879424.0,172977209344.0,Z_SK0AMV20220118.fde
2022-01-18,09:40:59,105464.3984375,14306506752.0,186558119936.0,Z_SK0AMV20220118.fde
2022-01-18,09:41:59,105529.703125,15349168128.0,200046837760.0,Z_SK0AMV20220118.fde
2022-01-18,09:42:59,105559.3984375,16316729344.0,212690567168.0,Z_SK0AMV20220118.fde
2022-01-18,09:43:59,105597.3984375,17221505024.0,224676904960.0,Z_SK0AMV20220118.fde
2022-01-18,09:44:59,105643.5,18089682944.0,236405784576.0,Z_SK0AMV20220118.fde
2022-01-18,09:45:59,105662.8984375,18874058752.0,247378018304.0,Z_SK0AMV20220118.fde
2022-01-18,09:46:59,105734.6015625,19629215744.0,258010873856.0,Z_SK0AMV20220118.fde
2022-01-18,09:47:59,105790.703125,20349616128.0,267804131328.0,Z_SK0AMV20220118.fde
2022-01-18,09:48:59,105808.1015625,21005047808.0,277189001216.0,Z_SK0AMV20220118.fde
2022-01-18,09:49:59,105800.1015625,21650098176.0,286344052736.0,Z_SK0AMV20220118.fde
2022-01-18,09:50:59,105860.5,22353989632.0,295815512064.0,Z_SK0AMV20220118.fde
2022-01-18,09:51:59,105901.5,23015149568.0,305183391744.0,Z_SK0AMV20220118.fde
2022-01-18,09:52:59,105934.8984375,23601152000.0,313392005120.0,Z_SK0AMV20220118.fde
2022-01-18,09:53:59,106010.203125,24131004416.0,320952074240.0,Z_SK0AMV20220118.fde
2022-01-18,09:54:59,106015.703125,24659994624.0,328471347200.0,Z_SK0AMV20220118.fde
2022-01-18,09:55:59,105933.6015625,25275631616.0,336898588672.0,Z_SK0AMV20220118.fde
2022-01-18,09:56:59,105981.6015625,25826523136.0,344600903680.0,Z_SK0AMV20220118.fde
2022-01-18,09:57:59,106099.5,26380777472.0,352393297920.0,Z_SK0AMV20220118.fde
2022-01-18,09:58:59,106191.8984375,26893996032.0,359598030848.0,Z_SK0AMV20220118.fde
2022-01-18,09:59:59,106193.8984375,27428288512.0,367117598720.0,Z_SK0AMV20220118.fde
2022-01-18,10:00:59,106274.8984375,27956643840.0,374305882112.0,Z_SK0AMV20220118.fde
2022-01-18,10:01:59,106258.3984375,28518359040.0,381633298432.0,Z_SK0AMV20220118.fde
2022-01-18,10:02:59,106348.0,29059813376.0,388836982784.0,Z_SK0AMV20220118.fde
2022-01-18,10:03:59,106352.3046875,29561061376.0,395925422080.0,Z_SK0AMV20220118.fde
